year,SE_field,broad_field,detailed_field,sex,value
2020,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"14,648"
2020,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"14,648"
2020,Science and engineering,Life sciences,Total for selected values,Total for selected values,"11,089"
2020,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"8,418"
2020,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"3,892"
2020,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"4,526"
2020,Science and engineering,Life sciences,Health sciences,Total for selected values,"2,671"
2020,Science and engineering,Life sciences,Health sciences,Male,915
2020,Science and engineering,Life sciences,Health sciences,Female,"1,756"
2020,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"2,763"
2020,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"2,763"
2020,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,669"
2020,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,"1,092"
2020,Science and engineering,Physical sciences and earth sciences,Chemistry+D16,Unknown sex,2
2020,Science and engineering,Engineering,Total for selected values,Total for selected values,796
2020,Science and engineering,Engineering,Civil engineering,Total for selected values,796
2020,Science and engineering,Engineering,Civil engineering,Male,586
2020,Science and engineering,Engineering,Civil engineering,Female,210
2019,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"14,904"
2019,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"14,904"
2019,Science and engineering,Life sciences,Total for selected values,Total for selected values,"11,265"
2019,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"8,681"
2019,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"4,192"
2019,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"4,488"
2019,Science and engineering,Life sciences,Biological and biomedical sciences,Unknown sex,1
2019,Science and engineering,Life sciences,Health sciences,Total for selected values,"2,584"
2019,Science and engineering,Life sciences,Health sciences,Male,857
2019,Science and engineering,Life sciences,Health sciences,Female,"1,727"
2019,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"2,939"
2019,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"2,939"
2019,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,788"
2019,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,"1,151"
2019,Science and engineering,Engineering,Total for selected values,Total for selected values,700
2019,Science and engineering,Engineering,Civil engineering,Total for selected values,700
2019,Science and engineering,Engineering,Civil engineering,Male,541
2019,Science and engineering,Engineering,Civil engineering,Female,159
2018,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"14,796"
2018,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"14,796"
2018,Science and engineering,Life sciences,Total for selected values,Total for selected values,"11,313"
2018,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"8,782"
2018,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"4,079"
2018,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"4,700"
2018,Science and engineering,Life sciences,Biological and biomedical sciences,Unknown sex,3
2018,Science and engineering,Life sciences,Health sciences,Total for selected values,"2,531"
2018,Science and engineering,Life sciences,Health sciences,Male,823
2018,Science and engineering,Life sciences,Health sciences,Female,"1,708"
2018,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"2,808"
2018,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"2,808"
2018,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,742"
2018,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,"1,066"
2018,Science and engineering,Engineering,Total for selected values,Total for selected values,675
2018,Science and engineering,Engineering,Civil engineering,Total for selected values,675
2018,Science and engineering,Engineering,Civil engineering,Male,505
2018,Science and engineering,Engineering,Civil engineering,Female,170
2017,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"14,473"
2017,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"14,473"
2017,Science and engineering,Life sciences,Total for selected values,Total for selected values,"11,061"
2017,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"8,566"
2017,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"4,056"
2017,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"4,508"
2017,Science and engineering,Life sciences,Biological and biomedical sciences,Unknown sex,2
2017,Science and engineering,Life sciences,Health sciences,Total for selected values,"2,495"
2017,Science and engineering,Life sciences,Health sciences,Male,801
2017,Science and engineering,Life sciences,Health sciences,Female,"1,693"
2017,Science and engineering,Life sciences,Health sciences,Unknown sex,1
2017,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"2,699"
2017,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"2,699"
2017,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,667"
2017,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,"1,031"
2017,Science and engineering,Physical sciences and earth sciences,Chemistry,Unknown sex,1
2017,Science and engineering,Engineering,Total for selected values,Total for selected values,713
2017,Science and engineering,Engineering,Civil engineering,Total for selected values,713
2017,Science and engineering,Engineering,Civil engineering,Male,508
2017,Science and engineering,Engineering,Civil engineering,Female,203
2017,Science and engineering,Engineering,Civil engineering,Unknown sex,2
2016,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"14,427"
2016,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"14,427"
2016,Science and engineering,Life sciences,Total for selected values,Total for selected values,"11,160"
2016,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"8,863"
2016,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"4,154"
2016,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"4,707"
2016,Science and engineering,Life sciences,Biological and biomedical sciences,Unknown sex,2
2016,Science and engineering,Life sciences,Health sciences,Total for selected values,"2,297"
2016,Science and engineering,Life sciences,Health sciences,Male,719
2016,Science and engineering,Life sciences,Health sciences,Female,"1,578"
2016,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"2,703"
2016,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"2,703"
2016,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,712"
2016,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,991
2016,Science and engineering,Engineering,Total for selected values,Total for selected values,564
2016,Science and engineering,Engineering,Civil engineering,Total for selected values,564
2016,Science and engineering,Engineering,Civil engineering,Male,437
2016,Science and engineering,Engineering,Civil engineering,Female,127
2015,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"14,357"
2015,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"14,357"
2015,Science and engineering,Life sciences,Total for selected values,Total for selected values,"11,059"
2015,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"8,783"
2015,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"4,100"
2015,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"4,682"
2015,Science and engineering,Life sciences,Biological and biomedical sciences,Unknown sex,1
2015,Science and engineering,Life sciences,Health sciences,Total for selected values,"2,276"
2015,Science and engineering,Life sciences,Health sciences,Male,717
2015,Science and engineering,Life sciences,Health sciences,Female,"1,559"
2015,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"2,666"
2015,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"2,666"
2015,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,592"
2015,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,"1,074"
2015,Science and engineering,Engineering,Total for selected values,Total for selected values,632
2015,Science and engineering,Engineering,Civil engineering,Total for selected values,632
2015,Science and engineering,Engineering,Civil engineering,Male,457
2015,Science and engineering,Engineering,Civil engineering,Female,175
2014,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"14,436"
2014,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"14,436"
2014,Science and engineering,Life sciences,Total for selected values,Total for selected values,"11,146"
2014,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"8,868"
2014,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"4,088"
2014,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"4,747"
2014,Science and engineering,Life sciences,Biological and biomedical sciences,Unknown sex,33
2014,Science and engineering,Life sciences,Health sciences,Total for selected values,"2,278"
2014,Science and engineering,Life sciences,Health sciences,Male,735
2014,Science and engineering,Life sciences,Health sciences,Female,"1,537"
2014,Science and engineering,Life sciences,Health sciences,Unknown sex,6
2014,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"2,673"
2014,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"2,673"
2014,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,642"
2014,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,"1,021"
2014,Science and engineering,Physical sciences and earth sciences,Chemistry,Unknown sex,10
2014,Science and engineering,Engineering,Total for selected values,Total for selected values,617
2014,Science and engineering,Engineering,Civil engineering,Total for selected values,617
2014,Science and engineering,Engineering,Civil engineering,Male,465
2014,Science and engineering,Engineering,Civil engineering,Female,147
2014,Science and engineering,Engineering,Civil engineering,Unknown sex,5
2013,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"13,909"
2013,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"13,909"
2013,Science and engineering,Life sciences,Total for selected values,Total for selected values,"10,883"
2013,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"8,354"
2013,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"3,941"
2013,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"4,410"
2013,Science and engineering,Life sciences,Biological and biomedical sciences,Unknown sex,3
2013,Science and engineering,Life sciences,Health sciences,Total for selected values,"2,529"
2013,Science and engineering,Life sciences,Health sciences,Male,849
2013,Science and engineering,Life sciences,Health sciences,Female,"1,680"
2013,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"2,484"
2013,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"2,484"
2013,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,497"
2013,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,985
2013,Science and engineering,Physical sciences and earth sciences,Chemistry,Unknown sex,2
2013,Science and engineering,Engineering,Total for selected values,Total for selected values,542
2013,Science and engineering,Engineering,Civil engineering,Total for selected values,542
2013,Science and engineering,Engineering,Civil engineering,Male,417
2013,Science and engineering,Engineering,Civil engineering,Female,125
2012,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"13,620"
2012,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"13,620"
2012,Science and engineering,Life sciences,Total for selected values,Total for selected values,"10,709"
2012,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"8,322"
2012,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"3,891"
2012,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"4,422"
2012,Science and engineering,Life sciences,Biological and biomedical sciences,Unknown sex,9
2012,Science and engineering,Life sciences,Health sciences,Total for selected values,"2,387"
2012,Science and engineering,Life sciences,Health sciences,Male,746
2012,Science and engineering,Life sciences,Health sciences,Female,"1,638"
2012,Science and engineering,Life sciences,Health sciences,Unknown sex,3
2012,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"2,416"
2012,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"2,416"
2012,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,521"
2012,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,894
2012,Science and engineering,Physical sciences and earth sciences,Chemistry,Unknown sex,1
2012,Science and engineering,Engineering,Total for selected values,Total for selected values,495
2012,Science and engineering,Engineering,Civil engineering,Total for selected values,495
2012,Science and engineering,Engineering,Civil engineering,Male,388
2012,Science and engineering,Engineering,Civil engineering,Female,106
2012,Science and engineering,Engineering,Civil engineering,Unknown sex,1
2011,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"13,395"
2011,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"13,395"
2011,Science and engineering,Life sciences,Total for selected values,Total for selected values,"10,329"
2011,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"8,152"
2011,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"3,878"
2011,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"4,272"
2011,Science and engineering,Life sciences,Biological and biomedical sciences,Unknown sex,2
2011,Science and engineering,Life sciences,Health sciences,Total for selected values,"2,177"
2011,Science and engineering,Life sciences,Health sciences,Male,713
2011,Science and engineering,Life sciences,Health sciences,Female,"1,463"
2011,Science and engineering,Life sciences,Health sciences,Unknown sex,1
2011,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"2,432"
2011,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"2,432"
2011,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,508"
2011,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,922
2011,Science and engineering,Physical sciences and earth sciences,Chemistry,Unknown sex,2
2011,Science and engineering,Engineering,Total for selected values,Total for selected values,634
2011,Science and engineering,Engineering,Civil engineering,Total for selected values,634
2011,Science and engineering,Engineering,Civil engineering,Male,486
2011,Science and engineering,Engineering,Civil engineering,Female,147
2011,Science and engineering,Engineering,Civil engineering,Unknown sex,1
2010,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"13,166"
2010,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"13,166"
2010,Science and engineering,Life sciences,Total for selected values,Total for selected values,"10,219"
2010,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"8,046"
2010,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"3,823"
2010,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"4,219"
2010,Science and engineering,Life sciences,Biological and biomedical sciences,Unknown sex,4
2010,Science and engineering,Life sciences,Health sciences,Total for selected values,"2,173"
2010,Science and engineering,Life sciences,Health sciences,Male,669
2010,Science and engineering,Life sciences,Health sciences,Female,"1,504"
2010,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"2,304"
2010,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"2,304"
2010,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,440"
2010,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,864
2010,Science and engineering,Engineering,Total for selected values,Total for selected values,643
2010,Science and engineering,Engineering,Civil engineering,Total for selected values,643
2010,Science and engineering,Engineering,Civil engineering,Male,473
2010,Science and engineering,Engineering,Civil engineering,Female,169
2010,Science and engineering,Engineering,Civil engineering,Unknown sex,1
2009,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"13,218"
2009,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"13,218"
2009,Science and engineering,Life sciences,Total for selected values,Total for selected values,"10,120"
2009,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"8,025"
2009,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"3,834"
2009,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"4,185"
2009,Science and engineering,Life sciences,Biological and biomedical sciences,Unknown sex,6
2009,Science and engineering,Life sciences,Health sciences,Total for selected values,"2,095"
2009,Science and engineering,Life sciences,Health sciences,Male,627
2009,Science and engineering,Life sciences,Health sciences,Female,"1,466"
2009,Science and engineering,Life sciences,Health sciences,Unknown sex,2
2009,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"2,391"
2009,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"2,391"
2009,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,490"
2009,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,895
2009,Science and engineering,Physical sciences and earth sciences,Chemistry,Unknown sex,6
2009,Science and engineering,Engineering,Total for selected values,Total for selected values,707
2009,Science and engineering,Engineering,Civil engineering,Total for selected values,707
2009,Science and engineering,Engineering,Civil engineering,Male,559
2009,Science and engineering,Engineering,Civil engineering,Female,148
2008,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"12,847"
2008,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"12,847"
2008,Science and engineering,Life sciences,Total for selected values,Total for selected values,"9,888"
2008,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"7,797"
2008,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"3,861"
2008,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"3,934"
2008,Science and engineering,Life sciences,Biological and biomedical sciences,Unknown sex,2
2008,Science and engineering,Life sciences,Health sciences,Total for selected values,"2,091"
2008,Science and engineering,Life sciences,Health sciences,Male,662
2008,Science and engineering,Life sciences,Health sciences,Female,"1,427"
2008,Science and engineering,Life sciences,Health sciences,Unknown sex,2
2008,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"2,246"
2008,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"2,246"
2008,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,479"
2008,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,767
2008,Science and engineering,Engineering,Total for selected values,Total for selected values,713
2008,Science and engineering,Engineering,Civil engineering,Total for selected values,713
2008,Science and engineering,Engineering,Civil engineering,Male,568
2008,Science and engineering,Engineering,Civil engineering,Female,145
2007,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"12,402"
2007,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"12,402"
2007,Science and engineering,Life sciences,Total for selected values,Total for selected values,"9,381"
2007,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"7,238"
2007,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"3,708"
2007,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"3,529"
2007,Science and engineering,Life sciences,Biological and biomedical sciences,Unknown sex,1
