year,SE_field,broad_field,detailed_field,sex,value
1994,Science and engineering,Life sciences,Health sciences,Female,843
1994,Science and engineering,Life sciences,Health sciences,Unknown sex,9
1994,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"2,257"
1994,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"2,257"
1994,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,621"
1994,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,625
1994,Science and engineering,Physical sciences and earth sciences,Chemistry,Unknown sex,11
1994,Science and engineering,Engineering,Total for selected values,Total for selected values,601
1994,Science and engineering,Engineering,Civil engineering,Total for selected values,601
1994,Science and engineering,Engineering,Civil engineering,Male,541
1994,Science and engineering,Engineering,Civil engineering,Female,56
1994,Science and engineering,Engineering,Civil engineering,Unknown sex,4
1993,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"8,989"
1993,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"8,989"
1993,Science and engineering,Life sciences,Total for selected values,Total for selected values,"6,289"
1993,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"5,092"
1993,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"3,014"
1993,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"2,050"
1993,Science and engineering,Life sciences,Biological and biomedical sciences,Unknown sex,28
1993,Science and engineering,Life sciences,Health sciences,Total for selected values,"1,197"
1993,Science and engineering,Life sciences,Health sciences,Male,408
1993,Science and engineering,Life sciences,Health sciences,Female,777
1993,Science and engineering,Life sciences,Health sciences,Unknown sex,12
1993,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"2,137"
1993,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"2,137"
1993,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,530"
1993,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,582
1993,Science and engineering,Physical sciences and earth sciences,Chemistry,Unknown sex,25
1993,Science and engineering,Engineering,Total for selected values,Total for selected values,563
1993,Science and engineering,Engineering,Civil engineering,Total for selected values,563
1993,Science and engineering,Engineering,Civil engineering,Male,508
1993,Science and engineering,Engineering,Civil engineering,Female,45
1993,Science and engineering,Engineering,Civil engineering,Unknown sex,10
1992,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"8,664"
1992,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"8,664"
1992,Science and engineering,Life sciences,Total for selected values,Total for selected values,"5,911"
1992,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"4,799"
1992,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"2,952"
1992,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"1,831"
1992,Science and engineering,Life sciences,Biological and biomedical sciences,Unknown sex,16
1992,Science and engineering,Life sciences,Health sciences,Total for selected values,"1,112"
1992,Science and engineering,Life sciences,Health sciences,Male,394
1992,Science and engineering,Life sciences,Health sciences,Female,710
1992,Science and engineering,Life sciences,Health sciences,Unknown sex,8
1992,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"2,213"
1992,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"2,213"
1992,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,620"
1992,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,579
1992,Science and engineering,Physical sciences and earth sciences,Chemistry,Unknown sex,14
1992,Science and engineering,Engineering,Total for selected values,Total for selected values,540
1992,Science and engineering,Engineering,Civil engineering,Total for selected values,540
1992,Science and engineering,Engineering,Civil engineering,Male,496
1992,Science and engineering,Engineering,Civil engineering,Female,36
1992,Science and engineering,Engineering,Civil engineering,Unknown sex,8
1991,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"8,393"
1991,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"8,393"
1991,Science and engineering,Life sciences,Total for selected values,Total for selected values,"5,690"
1991,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"4,649"
1991,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"2,863"
1991,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"1,773"
1991,Science and engineering,Life sciences,Biological and biomedical sciences,Unknown sex,13
1991,Science and engineering,Life sciences,Health sciences,Total for selected values,"1,041"
1991,Science and engineering,Life sciences,Health sciences,Male,369
1991,Science and engineering,Life sciences,Health sciences,Female,668
1991,Science and engineering,Life sciences,Health sciences,Unknown sex,4
1991,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"2,194"
1991,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"2,194"
1991,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,672"
1991,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,517
1991,Science and engineering,Physical sciences and earth sciences,Chemistry,Unknown sex,5
1991,Science and engineering,Engineering,Total for selected values,Total for selected values,509
1991,Science and engineering,Engineering,Civil engineering,Total for selected values,509
1991,Science and engineering,Engineering,Civil engineering,Male,476
1991,Science and engineering,Engineering,Civil engineering,Female,31
1991,Science and engineering,Engineering,Civil engineering,Unknown sex,2
1990,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"7,889"
1990,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"7,889"
1990,Science and engineering,Life sciences,Total for selected values,Total for selected values,"5,284"
1990,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"4,328"
1990,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"2,713"
1990,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"1,615"
1990,Science and engineering,Life sciences,Health sciences,Total for selected values,956
1990,Science and engineering,Life sciences,Health sciences,Male,364
1990,Science and engineering,Life sciences,Health sciences,Female,592
1990,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"2,100"
1990,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"2,100"
1990,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,597"
1990,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,503
1990,Science and engineering,Engineering,Total for selected values,Total for selected values,505
1990,Science and engineering,Engineering,Civil engineering,Total for selected values,505
1990,Science and engineering,Engineering,Civil engineering,Male,466
1990,Science and engineering,Engineering,Civil engineering,Female,39
1989,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"7,558"
1989,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"7,558"
1989,Science and engineering,Life sciences,Total for selected values,Total for selected values,"5,090"
1989,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"4,116"
1989,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"2,574"
1989,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"1,542"
1989,Science and engineering,Life sciences,Health sciences,Total for selected values,974
1989,Science and engineering,Life sciences,Health sciences,Male,345
1989,Science and engineering,Life sciences,Health sciences,Female,629
1989,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"1,970"
1989,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"1,970"
1989,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,471"
1989,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,499
1989,Science and engineering,Engineering,Total for selected values,Total for selected values,498
1989,Science and engineering,Engineering,Civil engineering,Total for selected values,498
1989,Science and engineering,Engineering,Civil engineering,Male,453
1989,Science and engineering,Engineering,Civil engineering,Female,45
1988,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"7,495"
1988,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"7,495"
1988,Science and engineering,Life sciences,Total for selected values,Total for selected values,"4,993"
1988,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"4,111"
1988,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"2,606"
1988,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"1,505"
1988,Science and engineering,Life sciences,Health sciences,Total for selected values,882
1988,Science and engineering,Life sciences,Health sciences,Male,333
1988,Science and engineering,Life sciences,Health sciences,Female,549
1988,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"2,014"
1988,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"2,014"
1988,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,587"
1988,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,427
1988,Science and engineering,Engineering,Total for selected values,Total for selected values,488
1988,Science and engineering,Engineering,Civil engineering,Total for selected values,488
1988,Science and engineering,Engineering,Civil engineering,Male,463
1988,Science and engineering,Engineering,Civil engineering,Female,25
1987,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"7,055"
1987,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"7,055"
1987,Science and engineering,Life sciences,Total for selected values,Total for selected values,"4,639"
1987,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"3,839"
1987,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"2,479"
1987,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"1,360"
1987,Science and engineering,Life sciences,Health sciences,Total for selected values,800
1987,Science and engineering,Life sciences,Health sciences,Male,325
1987,Science and engineering,Life sciences,Health sciences,Female,475
1987,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"1,975"
1987,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"1,975"
1987,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,569"
1987,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,406
1987,Science and engineering,Engineering,Total for selected values,Total for selected values,441
1987,Science and engineering,Engineering,Civil engineering,Total for selected values,441
1987,Science and engineering,Engineering,Civil engineering,Male,424
1987,Science and engineering,Engineering,Civil engineering,Female,17
1986,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"6,866"
1986,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"6,866"
1986,Science and engineering,Life sciences,Total for selected values,Total for selected values,"4,576"
1986,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"3,807"
1986,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"2,527"
1986,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"1,280"
1986,Science and engineering,Life sciences,Health sciences,Total for selected values,769
1986,Science and engineering,Life sciences,Health sciences,Male,290
1986,Science and engineering,Life sciences,Health sciences,Female,479
1986,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"1,903"
1986,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"1,903"
1986,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,507"
1986,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,396
1986,Science and engineering,Engineering,Total for selected values,Total for selected values,387
1986,Science and engineering,Engineering,Civil engineering,Total for selected values,387
1986,Science and engineering,Engineering,Civil engineering,Male,368
1986,Science and engineering,Engineering,Civil engineering,Female,19
1985,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"6,716"
1985,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"6,716"
1985,Science and engineering,Life sciences,Total for selected values,Total for selected values,"4,522"
1985,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"3,793"
1985,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"2,555"
1985,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"1,238"
1985,Science and engineering,Life sciences,Health sciences,Total for selected values,729
1985,Science and engineering,Life sciences,Health sciences,Male,289
1985,Science and engineering,Life sciences,Health sciences,Female,440
1985,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"1,836"
1985,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"1,836"
1985,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,474"
1985,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,362
1985,Science and engineering,Engineering,Total for selected values,Total for selected values,358
1985,Science and engineering,Engineering,Civil engineering,Total for selected values,358
1985,Science and engineering,Engineering,Civil engineering,Male,340
1985,Science and engineering,Engineering,Civil engineering,Female,18
1984,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"6,718"
1984,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"6,718"
1984,Science and engineering,Life sciences,Total for selected values,Total for selected values,"4,602"
1984,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"3,880"
1984,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"2,665"
1984,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"1,215"
1984,Science and engineering,Life sciences,Health sciences,Total for selected values,722
1984,Science and engineering,Life sciences,Health sciences,Male,306
1984,Science and engineering,Life sciences,Health sciences,Female,416
1984,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"1,765"
1984,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"1,765"
1984,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,445"
1984,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,320
1984,Science and engineering,Engineering,Total for selected values,Total for selected values,351
1984,Science and engineering,Engineering,Civil engineering,Total for selected values,351
1984,Science and engineering,Engineering,Civil engineering,Male,332
1984,Science and engineering,Engineering,Civil engineering,Female,19
1983,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"6,492"
1983,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"6,492"
1983,Science and engineering,Life sciences,Total for selected values,Total for selected values,"4,380"
1983,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"3,741"
1983,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"2,508"
1983,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"1,233"
1983,Science and engineering,Life sciences,Health sciences,Total for selected values,639
1983,Science and engineering,Life sciences,Health sciences,Male,302
1983,Science and engineering,Life sciences,Health sciences,Female,337
1983,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"1,758"
1983,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"1,758"
1983,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,461"
1983,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,297
1983,Science and engineering,Engineering,Total for selected values,Total for selected values,354
1983,Science and engineering,Engineering,Civil engineering,Total for selected values,354
1983,Science and engineering,Engineering,Civil engineering,Male,342
1983,Science and engineering,Engineering,Civil engineering,Female,12
1982,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"6,567"
1982,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"6,567"
1982,Science and engineering,Life sciences,Total for selected values,Total for selected values,"4,579"
1982,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"3,893"
1982,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"2,752"
1982,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"1,141"
1982,Science and engineering,Life sciences,Health sciences,Total for selected values,686
1982,Science and engineering,Life sciences,Health sciences,Male,362
1982,Science and engineering,Life sciences,Health sciences,Female,324
1982,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"1,680"
1982,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"1,680"
1982,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,407"
1982,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,273
1982,Science and engineering,Engineering,Total for selected values,Total for selected values,308
1982,Science and engineering,Engineering,Civil engineering,Total for selected values,308
1982,Science and engineering,Engineering,Civil engineering,Male,296
1982,Science and engineering,Engineering,Civil engineering,Female,12
1981,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"6,359"
1981,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"6,359"
1981,Science and engineering,Life sciences,Total for selected values,Total for selected values,"4,460"
1981,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"3,803"
1981,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"2,716"
1981,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"1,087"
1981,Science and engineering,Life sciences,Health sciences,Total for selected values,657
1981,Science and engineering,Life sciences,Health sciences,Male,356
1981,Science and engineering,Life sciences,Health sciences,Female,301
1981,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"1,612"
1981,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"1,612"
1981,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,376"
1981,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,236
1981,Science and engineering,Engineering,Total for selected values,Total for selected values,287
1981,Science and engineering,Engineering,Civil engineering,Total for selected values,287
1981,Science and engineering,Engineering,Civil engineering,Male,281
1981,Science and engineering,Engineering,Civil engineering,Female,6
1980,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"6,167"
1980,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"6,167"
1980,Science and engineering,Life sciences,Total for selected values,Total for selected values,"4,389"
1980,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"3,803"
1980,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"2,750"
1980,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"1,053"
1980,Science and engineering,Life sciences,Health sciences,Total for selected values,586
1980,Science and engineering,Life sciences,Health sciences,Male,334
1980,Science and engineering,Life sciences,Health sciences,Female,252
1980,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"1,538"
1980,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"1,538"
1980,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,283"
1980,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,255
1980,Science and engineering,Engineering,Total for selected values,Total for selected values,240
1980,Science and engineering,Engineering,Civil engineering,Total for selected values,240
1980,Science and engineering,Engineering,Civil engineering,Male,234
1980,Science and engineering,Engineering,Civil engineering,Female,6